vcpu,ram_gb,nodes,dataset,task,target_cost,target_runtime,instance_type
2,16.0,2,santander,kmeans,0.0092274782761073,166.90577101707458,e2-highmem-2
4,26.0,3,creditcard,spectral_clustering,0.0163507608180046,75.2913007736206,n1-highmem-4
4,3.6,4,buzz,linear_regression,0.0511584870577918,294.7672109603882,n1-highcpu-4
4,26.0,5,buzz,standard_scaler,0.0023951628116766,6.61748743057251,n1-highmem-4
4,16.0,3,buzz,logistic_regression,0.0224565631579279,182.64793133735657,e2-standard-4
2,7.5,2,buzz,standard_scaler,0.0004174496626324,7.183646202087402,n1-standard-2
4,15.0,5,creditcard,naive_bayes,0.0005693611590067,1.9595603942871087,n1-standard-4
4,16.0,3,creditcard,naive_bayes,0.0008219025978684,6.684852361679077,e2-standard-4
2,2.0,5,santander,linear_regression,0.0067916364810208,89.78697562217712,e2-highcpu-2
4,3.6,5,creditcard,naive_bayes,0.0009443833054436,4.353111267089844,n1-highcpu-4
2,1.8,4,buzz,logistic_regression,0.0145412952377266,167.56934332847595,n1-highcpu-2
2,13.0,3,santander,xgboost,0.0131834937330683,121.41360306739809,n1-highmem-2
4,15.0,5,buzz,linear_regression,0.0653543362361854,224.9288818836212,n1-standard-4
4,16.0,5,buzz,polynomial_features,0.0087400046712756,42.65150713920593,e2-standard-4
2,16.0,3,buzz,naive_bayes,0.0006958589434297,8.391088008880615,e2-highmem-2
4,3.6,4,santander,naive_bayes,0.0030870199530919,17.786926746368408,n1-highcpu-4
4,4.0,2,buzz,quantile_transformer,0.0021487315132697,35.508397817611694,e2-highcpu-4
4,16.0,5,santander,logistic_regression,0.0175571508695085,85.67946743965149,e2-standard-4
2,13.0,3,buzz,standard_scaler,0.0010495862407485,9.666181802749634,n1-highmem-2
2,1.8,5,creditcard,poisson_regression,0.0055213128533959,50.900707483291626,n1-highcpu-2
2,8.0,3,santander,xgboost,0.0073918832001209,120.24210166931152,e2-standard-2
2,16.0,3,santander,logistic_regression,0.0219464707850941,264.6438183784485,e2-highmem-2
4,15.0,3,buzz,quantile_transformer,0.0043398734198411,24.8941113948822,n1-standard-4
4,16.0,3,santander,xgboost,0.0097171246733784,79.03314089775085,e2-standard-4
4,4.0,2,creditcard,poisson_regression,0.0065806591269985,108.74725890159608,e2-highcpu-4
2,7.5,3,creditcard,spectral_clustering,0.0092578324087858,106.2084023952484,n1-standard-2
2,8.0,2,creditcard,spectral_clustering,0.0050770384371121,123.88056373596191,e2-standard-2
2,8.0,3,buzz,poisson_regression,0.0051269706690967,83.39927887916565,e2-standard-2
2,8.0,4,santander,logistic_regression,0.0154171823204119,188.09087824821472,e2-standard-2
2,7.5,3,buzz,quantile_transformer,0.0020302896832625,23.29204225540161,n1-standard-2
4,26.0,3,creditcard,xgboost,0.0026575126111507,12.237203121185305,n1-highmem-4
2,13.0,4,santander,linear_regression,0.0200252128954993,138.31689643859863,n1-highmem-2
2,13.0,4,buzz,quantile_transformer,0.0041445374762747,28.62688970565796,n1-highmem-2
2,16.0,5,santander,kmeans,0.011291148723332,81.69330024719238,e2-highmem-2
4,4.0,5,santander,xgboost,0.0085258969799081,56.35714650154114,e2-highcpu-4
4,4.0,3,buzz,naive_bayes,0.0004376950632667,4.822023391723633,e2-highcpu-4
2,13.0,2,santander,linear_regression,0.0212565936998128,293.64442563056946,n1-highmem-2
2,7.5,2,creditcard,standard_scaler,0.0005301191481219,9.122509241104126,n1-standard-2
4,26.0,2,santander,kmeans,0.0188420131735801,130.14437341690063,n1-highmem-4
4,4.0,3,buzz,poisson_regression,0.0054422900529217,59.95692467689514,e2-highcpu-4
2,2.0,3,creditcard,spectral_clustering,0.0042336837862527,93.28376746177672,e2-highcpu-2
4,3.6,5,creditcard,kmeans,0.0041738160118129,19.23910069465637,n1-highcpu-4
2,2.0,2,santander,logistic_regression,0.0156642914068222,517.7137184143066,e2-highcpu-2
4,16.0,4,creditcard,spectral_clustering,0.010614153461345,64.74676775932312,e2-standard-4
4,3.6,4,santander,standard_scaler,0.0045835334240595,26.409603595733643,n1-highcpu-4
2,2.0,5,creditcard,xgboost,0.00202613124607,26.7859148979187,e2-highcpu-2
4,4.0,2,creditcard,xgboost,0.0011389795089403,18.82195949554444,e2-highcpu-4
2,8.0,3,buzz,kmeans,0.0019194088649511,31.2225923538208,e2-standard-2
4,16.0,3,buzz,naive_bayes,0.000880032832241,7.157648086547852,e2-standard-4
4,15.0,5,santander,xgboost,0.0171349260726239,58.97297692298889,n1-standard-4
2,13.0,2,santander,standard_scaler,0.0021707766447199,29.98770499229431,n1-highmem-2
4,15.0,2,buzz,standard_scaler,0.0009118559696409,7.845797061920166,n1-standard-4
2,2.0,5,santander,logistic_regression,0.0108296064575354,143.16985511779785,e2-highcpu-2
4,16.0,5,creditcard,quantile_transformer,0.0025781177204847,12.581298351287842,e2-standard-4
4,32.0,3,santander,kmeans,0.0141576662584304,85.3608512878418,e2-highmem-4
4,26.0,5,santander,polynomial_features,0.1655435145278109,457.3727185726166,n1-highmem-4
2,2.0,4,buzz,poisson_regression,0.0040142812394014,66.33713626861572,e2-highcpu-2
2,8.0,3,creditcard,polynomial_features,0.0025588938850164,41.62495136260986,e2-standard-2
4,32.0,5,santander,polynomial_features,0.1297838247133731,469.5035562515259,e2-highmem-4
4,3.6,3,creditcard,naive_bayes,0.0004826230793793,3.7077317237854,n1-highcpu-4
4,32.0,5,santander,logistic_regression,0.0282904266897969,102.34292268753052,e2-highmem-4
2,7.5,5,creditcard,standard_scaler,0.0011121657401323,7.655442953109741,n1-standard-2
2,2.0,4,creditcard,linear_regression,0.0054348236975113,89.81200337409973,e2-highcpu-2
4,15.0,5,creditcard,standard_scaler,0.001199253178305,4.127448797225952,n1-standard-4
4,26.0,2,creditcard,linear_regression,0.0155716984039412,107.55586004257202,n1-highmem-4
4,32.0,5,creditcard,naive_bayes,0.0007542106213993,2.7284183502197266,e2-highmem-4
4,15.0,4,creditcard,kmeans,0.0033978089423709,14.617724895477297,n1-standard-4
4,4.0,3,buzz,kmeans,0.0027245946099543,30.01646590232849,e2-highcpu-4
4,4.0,5,santander,standard_scaler,0.0038910968603173,25.72059178352356,e2-highcpu-4
4,32.0,4,santander,standard_scaler,0.0024289004667144,10.983431577682495,e2-highmem-4
2,8.0,5,creditcard,xgboost,0.0015041060504515,14.68017292022705,e2-standard-2
2,16.0,3,creditcard,polynomial_features,0.003174294195191,38.27755928039551,e2-highmem-2
4,16.0,5,santander,naive_bayes,0.0035684699925382,17.414249658584595,e2-standard-4
4,3.6,2,buzz,standard_scaler,0.0005490558810763,6.3271484375,n1-highcpu-4
4,15.0,4,buzz,xgboost,0.0068166371757719,29.32587695121765,n1-standard-4
2,13.0,5,creditcard,xgboost,0.0028648400126232,15.83027482032776,n1-highmem-2
4,16.0,2,santander,naive_bayes,0.0006832900575558,8.336194276809692,e2-standard-4
4,4.0,2,creditcard,polynomial_features,0.0015926818723026,26.319519758224487,e2-highcpu-4
2,7.5,5,santander,logistic_regression,0.0198023933190769,136.3071050643921,n1-standard-2
2,7.5,4,santander,logistic_regression,0.020655431473573,177.72359776496887,n1-standard-2
2,13.0,2,creditcard,logistic_regression,0.005694666863203,78.6676926612854,n1-highmem-2
4,15.0,4,buzz,standard_scaler,0.0015009846136305,6.457390785217285,n1-standard-4
4,32.0,5,buzz,kmeans,0.0078801893288228,28.507226705551147,e2-highmem-4
2,1.8,2,creditcard,logistic_regression,0.0040205631638235,92.66342759132384,n1-highcpu-2
4,26.0,3,buzz,poisson_regression,0.0138432373652458,63.74476146697998,n1-highmem-4
2,16.0,4,santander,linear_regression,0.0129157062182686,116.8090479373932,e2-highmem-2
2,16.0,2,creditcard,linear_regression,0.0062319792397904,112.72346234321594,e2-highmem-2
2,7.5,3,santander,xgboost,0.010375907678763,119.03526973724364,n1-standard-2
2,1.8,3,buzz,quantile_transformer,0.0018419197623332,28.300943851470947,n1-highcpu-2
4,3.6,3,creditcard,xgboost,0.0017712729055881,13.607730388641356,n1-highcpu-4
4,32.0,4,creditcard,kmeans,0.0029399711329905,13.29448127746582,e2-highmem-4
4,15.0,2,santander,kmeans,0.0166446312097443,143.21384406089783,n1-standard-4
2,16.0,4,santander,naive_bayes,0.0022668257750172,20.50106716156006,e2-highmem-2
4,4.0,3,santander,quantile_transformer,0.0054257480839943,59.77468419075012,e2-highcpu-4
2,13.0,4,santander,kmeans,0.0138391456356578,95.58888006210329,n1-highmem-2
2,2.0,2,creditcard,xgboost,0.0009708964809807,32.08867955207825,e2-highcpu-2
2,2.0,3,creditcard,poisson_regression,0.0032291679447484,71.15055513381958,e2-highcpu-2
2,16.0,3,buzz,quantile_transformer,0.0022563459606548,27.2083842754364,e2-highmem-2
4,32.0,4,santander,kmeans,0.0175883451507133,79.53408885002136,e2-highmem-4
4,26.0,3,creditcard,quantile_transformer,0.0027148614770571,12.501280784606934,n1-highmem-4
4,15.0,3,creditcard,spectral_clustering,0.0127382168592611,73.06816554069519,n1-standard-4
2,1.8,2,creditcard,spectral_clustering,0.0055142766819,127.08960342407228,n1-highcpu-2
2,8.0,4,creditcard,xgboost,0.0012553478802204,15.315346240997314,e2-standard-2
4,26.0,2,creditcard,naive_bayes,0.0011896655107074,8.217183113098145,n1-highmem-4
2,13.0,3,creditcard,poisson_regression,0.0081044996075828,74.63852286338806,n1-highmem-2
